state,year,factor
AL,2020,830.4820190832299
AL,2021,830.4820190832299
AL,2022,830.4820190832299
AL,2023,830.4820190832299
AL,2024,830.4820190832299
AL,2025,743.9505105910166
AL,2026,601.9726979311812
AL,2027,601.9726979311812
AL,2028,628.5384221943958
AL,2029,628.5384221943958
AL,2030,710.5504506252323
AL,2031,750.3659676537515
AL,2032,790.1814846822705
AL,2033,829.9970017107896
AL,2034,869.8125187393086
AL,2035,909.6280357678278
AL,2036,928.1909733857752
AL,2037,946.7539110037226
AL,2038,965.31684862167
AL,2039,983.8797862396174
AL,2040,1002.4427238575648
AL,2041,981.1019594701858
AL,2042,959.7611950828068
AL,2043,938.4204306954279
AL,2044,917.0796663080489
AL,2045,895.73890192067
AL,2046,880.4829009329981
AL,2047,865.2268999453263
AL,2048,849.9708989576546
AL,2049,834.7148979699829
AL,2050,819.4588969823111
AL,2051,819.4588969823111
AL,2052,819.4588969823111
AL,2053,819.4588969823111
AL,2054,819.4588969823111
AL,2055,819.4588969823111
AL,2056,819.4588969823111
AL,2057,819.4588969823111
AL,2058,819.4588969823111
AL,2059,819.4588969823111
AL,2060,819.4588969823111
AL,2061,819.4588969823111
AL,2062,819.4588969823111
AL,2063,819.4588969823111
AL,2064,819.4588969823111
AL,2065,819.4588969823111
AL,2066,819.4588969823111
AL,2067,819.4588969823111
AL,2068,819.4588969823111
AL,2069,819.4588969823111
AR,2020,1044.3305878410565
AR,2021,1044.3305878410565
AR,2022,1044.3305878410565
AR,2023,1044.3305878410565
AR,2024,1044.3305878410565
AR,2025,976.6486181414145
AR,2026,829.8206317571747
AR,2027,829.8206317571747
AR,2028,726.5339776715648
AR,2029,726.5339776715648
AR,2030,702.3933402705524
AR,2031,697.8518139649738
AR,2032,693.3102876593953
AR,2033,688.7687613538167
AR,2034,684.2272350482381
AR,2035,679.6857087426595
AR,2036,673.909592761778
AR,2037,668.1334767808964
AR,2038,662.3573608000149
AR,2039,656.5812448191334
AR,2040,650.8051288382519
AR,2041,632.1099137550934
AR,2042,613.414698671935
AR,2043,594.7194835887765
AR,2044,576.0242685056181
AR,2045,557.3290534224597
AR,2046,548.8632956489539
AR,2047,540.3975378754482
AR,2048,531.9317801019424
AR,2049,523.4660223284368
AR,2050,515.000264554931
AR,2051,515.000264554931
AR,2052,515.000264554931
AR,2053,515.000264554931
AR,2054,515.000264554931
AR,2055,515.000264554931
AR,2056,515.000264554931
AR,2057,515.000264554931
AR,2058,515.000264554931
AR,2059,515.000264554931
AR,2060,515.000264554931
AR,2061,515.000264554931
AR,2062,515.000264554931
AR,2063,515.000264554931
AR,2064,515.000264554931
AR,2065,515.000264554931
AR,2066,515.000264554931
AR,2067,515.000264554931
AR,2068,515.000264554931
AR,2069,515.000264554931
AZ,2020,737.6673309934929
AZ,2021,737.6673309934929
AZ,2022,737.6673309934929
AZ,2023,737.6673309934929
AZ,2024,737.6673309934929
AZ,2025,583.1231591386098
AZ,2026,360.2356302580297
AZ,2027,360.2356302580297
AZ,2028,271.49949734563256
AZ,2029,271.49949734563256
AZ,2030,251.10672145893258
AZ,2031,274.3875553360733
AZ,2032,297.668389213214
AZ,2033,320.9492230903547
AZ,2034,344.2300569674954
AZ,2035,367.51089084463615
AZ,2036,389.60122753487764
AZ,2037,411.6915642251191
AZ,2038,433.78190091536055
AZ,2039,455.87223760560204
AZ,2040,477.9625742958436
AZ,2041,480.1231062276236
AZ,2042,482.2836381594037
AZ,2043,484.4441700911839
AZ,2044,486.6047020229639
AZ,2045,488.765233954744
AZ,2046,492.51309546905645
AZ,2047,496.2609569833689
AZ,2048,500.0088184976813
AZ,2049,503.75668001199375
AZ,2050,507.5045415263062
AZ,2051,507.5045415263062
AZ,2052,507.5045415263062
AZ,2053,507.5045415263062
AZ,2054,507.5045415263062
AZ,2055,507.5045415263062
AZ,2056,507.5045415263062
AZ,2057,507.5045415263062
AZ,2058,507.5045415263062
AZ,2059,507.5045415263062
AZ,2060,507.5045415263062
AZ,2061,507.5045415263062
AZ,2062,507.5045415263062
AZ,2063,507.5045415263062
AZ,2064,507.5045415263062
AZ,2065,507.5045415263062
AZ,2066,507.5045415263062
AZ,2067,507.5045415263062
AZ,2068,507.5045415263062
AZ,2069,507.5045415263062
CA,2020,459.002804282263
CA,2021,459.002804282263
CA,2022,459.002804282263
CA,2023,459.002804282263
CA,2024,459.002804282263
CA,2025,361.2277112471124
CA,2026,201.6129032258067
CA,2027,201.6129032258067
CA,2028,113.97908252350143
CA,2029,113.97908252350143
CA,2030,88.1849768073512
CA,2031,89.33138150584678
CA,2032,90.47778620434234
CA,2033,91.62419090283791
CA,2034,92.77059560133347
CA,2035,93.91700029982904
CA,2036,84.34893031623142
CA,2037,74.78086033263382
CA,2038,65.21279034903621
CA,2039,55.64472036543861
CA,2040,46.076650381841
CA,2041,40.60918181978523
CA,2042,35.14171325772946
CA,2043,29.674244695673682
CA,2044,24.206776133617907
CA,2045,18.73930757156213
CA,2046,14.991446057249705
CA,2047,11.243584542937278
CA,2048,7.4957230286248535
CA,2049,3.7478615143124268
CA,2050,0
CA,2051,0
CA,2052,0
CA,2053,0
CA,2054,0
CA,2055,0
CA,2056,0
CA,2057,0
CA,2058,0
CA,2059,0
CA,2060,0
CA,2061,0
CA,2062,0
CA,2063,0
CA,2064,0
CA,2065,0
CA,2066,0
CA,2067,0
CA,2068,0
CA,2069,0
CO,2020,862.4490731758948
CO,2021,862.4490731758948
CO,2022,862.4490731758948
CO,2023,862.4490731758948
CO,2024,862.4490731758948
CO,2025,769.854847528176
CO,2026,571.4386497116358
CO,2027,571.4386497116358
CO,2028,395.17892731794257
CO,2029,395.17892731794257
CO,2030,324.74117709307086
CO,2031,318.78869115857464
CO,2032,312.8362052240784
CO,2033,306.88371928958225
CO,2034,300.93123335508596
CO,2035,294.9787474205898
CO,2036,300.00529109860884
CO,2037,305.0318347766279
CO,2038,310.0583784546468
CO,2039,315.08492213266584
CO,2040,320.1114658106849
CO,2041,318.3477662745378
CO,2042,316.5840667383908
CO,2043,314.82036720224374
CO,2044,313.05666766609676
CO,2045,311.2929681299497
CO,2046,317.2013615760423
CO,2047,323.10975502213483
CO,2048,329.0181484682273
CO,2049,334.92654191431984
CO,2050,340.8349353604124
CO,2051,340.8349353604124
CO,2052,340.8349353604124
CO,2053,340.8349353604124
CO,2054,340.8349353604124
CO,2055,340.8349353604124
CO,2056,340.8349353604124
CO,2057,340.8349353604124
CO,2058,340.8349353604124
CO,2059,340.8349353604124
CO,2060,340.8349353604124
CO,2061,340.8349353604124
CO,2062,340.8349353604124
CO,2063,340.8349353604124
CO,2064,340.8349353604124
CO,2065,340.8349353604124
CO,2066,340.8349353604124
CO,2067,340.8349353604124
CO,2068,340.8349353604124
CO,2069,340.8349353604124
CT,2020,841.2846787421305
CT,2021,841.2846787421305
CT,2022,841.2846787421305
CT,2023,841.2846787421305
CT,2024,841.2846787421305
CT,2025,804.5776821460706
CT,2026,735.5729377943181
CT,2027,735.5729377943181
CT,2028,698.0943226511939
CT,2029,698.0943226511939
CT,2030,692.9134552637621
CT,2031,695.2503571491569
CT,2032,697.5872590345517
CT,2033,699.9241609199465
CT,2034,702.2610628053413
CT,2035,704.5979646907361
CT,2036,700.938288153231
CT,2037,697.278611615726
CT,2038,693.6189350782209
CT,2039,689.959258540716
CT,2040,686.2995820032107
CT,2041,678.4511190673566
CT,2042,670.6026561315023
CT,2043,662.754193195648
CT,2044,654.9057302597937
CT,2045,647.0572673239394
CT,2046,639.1206194112779
CT,2047,631.1839714986163
CT,2048,623.2473235859546
CT,2049,615.3106756732931
CT,2050,607.3740277606314
CT,2051,607.3740277606314
CT,2052,607.3740277606314
CT,2053,607.3740277606314
CT,2054,607.3740277606314
CT,2055,607.3740277606314
CT,2056,607.3740277606314
CT,2057,607.3740277606314
CT,2058,607.3740277606314
CT,2059,607.3740277606314
CT,2060,607.3740277606314
CT,2061,607.3740277606314
CT,2062,607.3740277606314
CT,2063,607.3740277606314
CT,2064,607.3740277606314
CT,2065,607.3740277606314
CT,2066,607.3740277606314
CT,2067,607.3740277606314
CT,2068,607.3740277606314
CT,2069,607.3740277606314
DE,2020,936.7449161360881
DE,2021,936.7449161360881
DE,2022,936.7449161360881
DE,2023,936.7449161360881
DE,2024,936.7449161360881
DE,2025,894.4161272685595
DE,2026,797.9638088855191
DE,2027,797.9638088855191
DE,2028,767.9809167710199
DE,2029,767.9809167710199
DE,2030,792.1215541720322
DE,2031,807.3334626713003
DE,2032,822.5453711705684
DE,2033,837.7572796698364
DE,2034,852.9691881691047
DE,2035,868.1810966683727
DE,2036,881.1883807474569
DE,2037,894.1956648265412
DE,2038,907.2029489056255
DE,2039,920.2102329847099
DE,2040,933.2175170637942
DE,2041,932.0270198768949
DE,2042,930.8365226899957
DE,2043,929.6460255030964
DE,2044,928.4555283161973
DE,2045,927.265031129298
DE,2046,922.8116898005268
DE,2047,918.3583484717554
DE,2048,913.9050071429842
DE,2049,909.4516658142129
DE,2050,904.9983244854418
DE,2051,904.9983244854418
DE,2052,904.9983244854418
DE,2053,904.9983244854418
DE,2054,904.9983244854418
DE,2055,904.9983244854418
DE,2056,904.9983244854418
DE,2057,904.9983244854418
DE,2058,904.9983244854418
DE,2059,904.9983244854418
DE,2060,904.9983244854418
DE,2061,904.9983244854418
DE,2062,904.9983244854418
DE,2063,904.9983244854418
DE,2064,904.9983244854418
DE,2065,904.9983244854418
DE,2066,904.9983244854418
DE,2067,904.9983244854418
DE,2068,904.9983244854418
DE,2069,904.9983244854418
FL,2020,641.54570627348
FL,2021,641.54570627348
FL,2022,641.54570627348
FL,2023,641.54570627348
FL,2024,641.54570627348
FL,2025,575.7376673309941
FL,2026,450.0740753805187
FL,2027,450.0740753805187
FL,2028,418.1070212878539
FL,2029,418.1070212878539
FL,2030,445.9955202031787
FL,2031,468.35041182384225
FL,2032,490.70530344450583
FL,2033,513.0601950651693
FL,2034,535.4150866858329
FL,2035,557.7699783064963
FL,2036,579.9044074851415
FL,2037,602.0388366637867
FL,2038,624.1732658424319
FL,2039,646.3076950210769
FL,2040,668.4421241997221
FL,2041,685.9468420959813
FL,2042,703.4515599922405
FL,2043,720.9562778884997
FL,2044,738.4609957847589
FL,2045,755.9657136810182
FL,2046,762.3150320111474
FL,2047,768.6643503412768
FL,2048,775.0136686714061
FL,2049,781.3629870015354
FL,2050,787.7123053316647
FL,2051,787.7123053316647
FL,2052,787.7123053316647
FL,2053,787.7123053316647
FL,2054,787.7123053316647
FL,2055,787.7123053316647
FL,2056,787.7123053316647
FL,2057,787.7123053316647
FL,2058,787.7123053316647
FL,2059,787.7123053316647
FL,2060,787.7123053316647
FL,2061,787.7123053316647
FL,2062,787.7123053316647
FL,2063,787.7123053316647
FL,2064,787.7123053316647
FL,2065,787.7123053316647
FL,2066,787.7123053316647
FL,2067,787.7123053316647
FL,2068,787.7123053316647
FL,2069,787.7123053316647
GA,2020,819.8998218663478
GA,2021,819.8998218663478
GA,2022,819.8998218663478
GA,2023,819.8998218663478
GA,2024,819.8998218663478
GA,2025,734.1399319211988
GA,2026,594.2565124605379
GA,2027,594.2565124605379
GA,2028,623.3575548069638
GA,2029,623.3575548069638
GA,2030,706.5821266689015
GA,2031,746.6621986278427
GA,2032,786.7422705867838
GA,2033,826.8223425457248
GA,2034,866.902414504666
GA,2035,906.9824864636071
GA,2036,925.5013315931508
GA,2037,944.0201767226946
GA,2038,962.5390218522383
GA,2039,981.0578669817821
GA,2040,999.5767121113258
GA,2041,977.8832078167176
GA,2042,956.1897035221091
GA,2043,934.4961992275007
GA,2044,912.8026949328922
GA,2045,891.1091906382838
GA,2046,875.7209121854011
GA,2047,860.3326337325184
GA,2048,844.9443552796356
GA,2049,829.5560768267528
GA,2050,814.16779837387
GA,2051,814.16779837387
GA,2052,814.16779837387
GA,2053,814.16779837387
GA,2054,814.16779837387
GA,2055,814.16779837387
GA,2056,814.16779837387
GA,2057,814.16779837387
GA,2058,814.16779837387
GA,2059,814.16779837387
GA,2060,814.16779837387
GA,2061,814.16779837387
GA,2062,814.16779837387
GA,2063,814.16779837387
GA,2064,814.16779837387
GA,2065,814.16779837387
GA,2066,814.16779837387
GA,2067,814.16779837387
GA,2068,814.16779837387
GA,2069,814.16779837387
IA,2020,632.7272085927449
IA,2021,632.7272085927449
IA,2022,632.7272085927449
IA,2023,632.7272085927449
IA,2024,632.7272085927449
IA,2025,503.97714245401215
IA,2026,304.7893260904076
IA,2027,304.7893260904076
IA,2028,256.9489761724196
IA,2029,256.9489761724196
IA,2030,279.5463764793033
IA,2031,295.55194976983756
IA,2032,311.5575230603718
IA,2033,327.563096350906
IA,2034,343.5686696414403
IA,2035,359.57424293197454
IA,2036,371.0382899169302
IA,2037,382.5023369018858
IA,2038,393.96638388684147
IA,2039,405.43043087179717
IA,2040,416.8944778567528
IA,2041,419.49593467256966
IA,2042,422.09739148838656
IA,2043,424.69884830420335
IA,2044,427.30030512002025
IA,2045,429.9017619358371
IA,2046,431.88592391400255
IA,2047,433.87008589216794
IA,2048,435.8542478703333
IA,2049,437.8384098484987
IA,2050,439.82257182666416
IA,2051,439.82257182666416
IA,2052,439.82257182666416
IA,2053,439.82257182666416
IA,2054,439.82257182666416
IA,2055,439.82257182666416
IA,2056,439.82257182666416
IA,2057,439.82257182666416
IA,2058,439.82257182666416
IA,2059,439.82257182666416
IA,2060,439.82257182666416
IA,2061,439.82257182666416
IA,2062,439.82257182666416
IA,2063,439.82257182666416
IA,2064,439.82257182666416
IA,2065,439.82257182666416
IA,2066,439.82257182666416
IA,2067,439.82257182666416
IA,2068,439.82257182666416
IA,2069,439.82257182666416
ID,2020,818.5770472142376
ID,2021,818.5770472142376
ID,2022,818.5770472142376
ID,2023,818.5770472142376
ID,2024,818.5770472142376
ID,2025,705.700276900828
ID,2026,501.77251803382836
ID,2027,501.77251803382836
ID,2028,377.43170073546315
ID,2029,377.43170073546315
ID,2030,344.14187199068806
ID,2031,362.6607171202318
ID,2032,381.1795622497756
ID,2033,399.69840737931935
ID,2034,418.21725250886306
ID,2035,436.7360976384068
ID,2036,455.2108502795469
ID,2037,473.68560292068696
ID,2038,492.1603555618271
ID,2039,510.63510820296716
ID,2040,529.1098608441073
ID,2041,526.9934214007308
ID,2042,524.8769819573544
ID,2043,522.760542513978
ID,2044,520.6441030706015
ID,2045,518.527663627225
ID,2046,523.5101148168404
ID,2047,528.4925660064557
ID,2048,533.4750171960711
ID,2049,538.4574683856865
ID,2050,543.4399195753018
ID,2051,543.4399195753018
ID,2052,543.4399195753018
ID,2053,543.4399195753018
ID,2054,543.4399195753018
ID,2055,543.4399195753018
ID,2056,543.4399195753018
ID,2057,543.4399195753018
ID,2058,543.4399195753018
ID,2059,543.4399195753018
ID,2060,543.4399195753018
ID,2061,543.4399195753018
ID,2062,543.4399195753018
ID,2063,543.4399195753018
ID,2064,543.4399195753018
ID,2065,543.4399195753018
ID,2066,543.4399195753018
ID,2067,543.4399195753018
ID,2068,543.4399195753018
ID,2069,543.4399195753018
IL,2020,962.7594842942567
IL,2021,962.7594842942567
IL,2022,962.7594842942567
IL,2023,962.7594842942567
IL,2024,962.7594842942567
IL,2025,895.1877458156238
IL,2026,744.5016666960626
IL,2027,744.5016666960626
IL,2028,641.3252438314615
IL,2029,641.3252438314615
IL,2030,621.2631616077892
IL,2031,629.993474311717
IL,2032,638.7237870156448
IL,2033,647.4540997195726
IL,2034,656.1844124235004
IL,2035,664.9147251274281
IL,2036,645.4258452530034
IL,2037,625.9369653785789
IL,2038,606.4480855041542
IL,2039,586.9592056297297
IL,2040,567.470325755305
IL,2041,523.9510397008771
IL,2042,480.43175364644935
IL,2043,436.91246759202147
IL,2044,393.3931815375937
IL,2045,349.8738954831659
IL,2046,310.4111183618762
IL,2047,270.94834124058656
IL,2048,231.48556411929692
IL,2049,192.02278699800723
IL,2050,152.5600098767176
IL,2051,152.5600098767176
IL,2052,152.5600098767176
IL,2053,152.5600098767176
IL,2054,152.5600098767176
IL,2055,152.5600098767176
IL,2056,152.5600098767176
IL,2057,152.5600098767176
IL,2058,152.5600098767176
IL,2059,152.5600098767176
IL,2060,152.5600098767176
IL,2061,152.5600098767176
IL,2062,152.5600098767176
IL,2063,152.5600098767176
IL,2064,152.5600098767176
IL,2065,152.5600098767176
IL,2066,152.5600098767176
IL,2067,152.5600098767176
IL,2068,152.5600098767176
IL,2069,152.5600098767176
IN,2020,1000.0176369953627
IN,2021,1000.0176369953627
IN,2022,1000.0176369953627
IN,2023,1000.0176369953627
IN,2024,1000.0176369953627
IN,2025,975.6565371523319
IN,2026,903.2346249492947
IN,2027,903.2346249492947
IN,2028,852.087338401031
IN,2029,852.087338401031
IN,2030,849.0008642127738
IN,2031,853.454205541545
IN,2032,857.9075468703162
IN,2033,862.3608881990875
IN,2034,866.8142295278587
IN,2035,871.2675708566298
IN,2036,878.0137215823922
IN,2037,884.7598723081546
IN,2038,891.506023033917
IN,2039,898.2521737596794
IN,2040,904.9983244854418
IN,2041,903.7637348101388
IN,2042,902.5291451348359
IN,2043,901.294555459533
IN,2044,900.05996578423
IN,2045,898.8253761089271
IN,2046,896.5325667119359
IN,2047,894.2397573149449
IN,2048,891.9469479179537
IN,2049,889.6541385209626
IN,2050,887.3613291239715
IN,2051,887.3613291239715
IN,2052,887.3613291239715
IN,2053,887.3613291239715
IN,2054,887.3613291239715
IN,2055,887.3613291239715
IN,2056,887.3613291239715
IN,2057,887.3613291239715
IN,2058,887.3613291239715
IN,2059,887.3613291239715
IN,2060,887.3613291239715
IN,2061,887.3613291239715
IN,2062,887.3613291239715
IN,2063,887.3613291239715
IN,2064,887.3613291239715
IN,2065,887.3613291239715
IN,2066,887.3613291239715
IN,2067,887.3613291239715
IN,2068,887.3613291239715
IN,2069,887.3613291239715
KS,2020,780.4370447450582
KS,2021,780.4370447450582
KS,2022,780.4370447450582
KS,2023,780.4370447450582
KS,2024,780.4370447450582
KS,2025,632.6169773717356
KS,2026,353.29106333445077
KS,2027,353.29106333445077
KS,2028,230.2730206881958
KS,2029,230.2730206881958
KS,2030,238.7608247059034
KS,2031,255.6923402529148
KS,2032,272.6238557999262
KS,2033,289.55537134693765
KS,2034,306.4868868939491
KS,2035,323.4184024409605
KS,2036,337.96892361417343
KS,2037,352.5194447873864
KS,2038,367.0699659605994
KS,2039,381.62048713381233
KS,2040,396.17100830702526
KS,2041,402.56441912555823
KS,2042,408.9578299440912
KS,2043,415.3512407626241
KS,2044,421.7446515811571
KS,2045,428.13806239969006
KS,2046,431.2245365879474
KS,2047,434.3110107762047
KS,2048,437.3974849644619
KS,2049,440.48395915271925
KS,2050,443.57043334097654
KS,2051,443.57043334097654
KS,2052,443.57043334097654
KS,2053,443.57043334097654
KS,2054,443.57043334097654
KS,2055,443.57043334097654
KS,2056,443.57043334097654
KS,2057,443.57043334097654
KS,2058,443.57043334097654
KS,2059,443.57043334097654
KS,2060,443.57043334097654
KS,2061,443.57043334097654
KS,2062,443.57043334097654
KS,2063,443.57043334097654
KS,2064,443.57043334097654
KS,2065,443.57043334097654
KS,2066,443.57043334097654
KS,2067,443.57043334097654
KS,2068,443.57043334097654
KS,2069,443.57043334097654
KY,2020,821.0021340764397
KY,2021,821.0021340764397
KY,2022,821.0021340764397
KY,2023,821.0021340764397
KY,2024,821.0021340764397
KY,2025,811.5222490696495
KY,2026,807.113000229282
KY,2027,807.113000229282
KY,2028,881.0781495264476
KY,2029,881.0781495264476
KY,2030,949.9726626571908
KY,2031,971.4457045097809
KY,2032,992.9187463623709
KY,2033,1014.3917882149609
KY,2034,1035.8648300675509
KY,2035,1057.337871920141
KY,2036,1055.5300798955902
KY,2037,1053.7222878710397
KY,2038,1051.9144958464888
KY,2039,1050.106703821938
KY,2040,1048.2989117973875
KY,2041,1034.9388878110738
KY,2042,1021.57886382476
KY,2043,1008.2188398384463
KY,2044,994.8588158521326
KY,2045,981.4987918658189
KY,2046,966.5955307853766
KY,2047,951.6922697049342
KY,2048,936.7890086244918
KY,2049,921.8857475440494
KY,2050,906.9824864636071
KY,2051,906.9824864636071
KY,2052,906.9824864636071
KY,2053,906.9824864636071
KY,2054,906.9824864636071
KY,2055,906.9824864636071
KY,2056,906.9824864636071
KY,2057,906.9824864636071
KY,2058,906.9824864636071
KY,2059,906.9824864636071
KY,2060,906.9824864636071
KY,2061,906.9824864636071
KY,2062,906.9824864636071
KY,2063,906.9824864636071
KY,2064,906.9824864636071
